VFID,RAgas,DECgas,COreference,alphaCO,Mmol,Mmol_err_up,Mmol_err_down,r21,err_r21,tdep,tdep_err_up,tdep_err_down,HIreference,MHI,MHI_err_up,MHI_err_down,MH2_to_MHI,MH2_to_MHI_err_up,MH2_to_MHI_err_down,H2def,errH2def,HIdef,errHIdef,Separation,MH2,MH2_err_up,MH2_err_down,Mgas
VFID0338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
